店名,種類,地址,評價,評分人數
原鄉食堂美食餐廳,restaurant,546台灣南投縣仁愛鄉仁和路196號,4.8,4343
貓居蔬食( 每人一份餐點低消）,restaurant,545台灣南投縣埔里鎮中正路527號,4.8,387
仁愛街素食（口味全）,restaurant,542台灣南投縣草屯鎮仁愛街46號,4.5,11
青青市集KissMarket x 賽德克文化聚落 x 美食 x 火鍋 x 小農市集,"restaurant, store, tourist_attraction",546台灣南投縣仁愛鄉25號,4.8,194
雲南馬幫美食館,restaurant,546台灣南投縣仁愛鄉仁和路224-1號,4.8,768
享筵景觀餐廳,restaurant,546台灣南投縣仁愛鄉信義巷22-1號,4.9,231
吐司一品 蔬食（晚上不接受當天訂位LINE ID:@zdz5772i）,restaurant,545台灣南投縣埔里鎮中山路一段331號,4.7,183
福田日式蔬食,restaurant,542台灣南投縣草屯鎮中正路599號,4.7,237
福滿蔬食堂™日式朝午食/壽司/咖哩飯/風味麵食/沙拉定食/會議餐盒,restaurant,540台灣南投縣南投市仁德路38號,4.8,249
田都蔬食,restaurant,545台灣南投縣埔里鎮中山路二段31號寶雅對面,5.0,69
Cielo Café 晴樂景觀餐廳,restaurant,546台灣南投縣仁愛鄉18-1號,4.5,109
秝米歇歇亭,"bakery, restaurant, store",546台灣南投縣仁愛鄉中正路88-3號,5.0,788
清境桂姐眷村小吃(雲南）,restaurant,546台灣南投縣仁愛鄉大同村定遠新村 22號,4.8,88
菩耘蔬食餐廳,restaurant,545台灣南投縣埔里鎮樹人三街403號,4.9,15
雅池園,restaurant,545台灣南投縣埔里鎮南環路952號,4.5,682
璞石村(璞石璞食),restaurant,54245台灣南投縣草屯鎮平峰路531巷15號,4.7,591
Mica 蔬食,restaurant,545台灣南投縣埔里鎮中正路210-7號,4.7,287
無所從來蔬食文創館,restaurant,545台灣南投縣埔里鎮南安路788號,4.7,768
樂川茶食,restaurant,545台灣南投縣埔里鎮永興巷8號,4.5,203
食堂休息中，目前不接受訂位預約,restaurant,545台灣南投縣埔里鎮籃城路25號,4.7,180
斯娜堡景觀餐廳,restaurant,546台灣南投縣仁愛鄉信義巷41號,4.9,1891
督賀蔬苑｜建議來電預約,restaurant,542台灣南投縣草屯鎮墩煌路三段168號,4.7,908
清境沐四季景觀餐廳,restaurant,546台灣南投縣仁愛鄉仁和路 信義巷36號,4.8,495
清境餐廳•麗江食堂/餐廳restaurants,restaurant,546台灣南投縣仁愛鄉博望巷39號,4.6,279
霧社山之鄉小館-預約制,restaurant,546台灣南投縣仁愛鄉介壽巷34號,4.6,290
美凤姐的店/超人氣甕仔雞/合菜二人起/野當歸煎蛋/蔥爆山豬肉/鮮甜高山菜/套餐白飯吃到飽/啤酒冷飲供應,restaurant,546台灣南投縣仁愛鄉仁和路183號,4.8,1424
雲南小吃,restaurant,546台灣南投縣仁愛鄉仁和路196附1號,4.5,500
月老花園 (預約制)馬告咖啡、便當、無菜單料理、客製化行程、月下老人問事解惑,restaurant,546台灣南投縣仁愛鄉清華巷148附3號,5.0,317
清境來福居玻璃屋咖啡廳/餐廳,"restaurant, store",546台灣南投縣仁愛鄉18-7號,4.5,744
清境馬蘭廚房雲南眷村美食小吃（榮獲2025年500碗推薦）清境美食／小吃,"meal_takeaway, restaurant",546台灣南投縣仁愛鄉壽亭巷9號,4.6,147
珍美味自助餐素食,restaurant,540台灣南投縣南投市龍井街17-19號,4.6,147
挪威森林 清境佤王宴餐廳,restaurant,546台灣南投縣仁愛鄉仁和路210-5號,4.7,439
賓拉登鍋屋,restaurant,546台灣南投縣仁愛鄉博望巷25號,4.8,76
春大地火鍋城,restaurant,546台灣南投縣仁愛鄉壽亭巷20-1號,4.7,2240
素拾素食(不接受電話點餐，請使用線上點餐）,restaurant,54264台灣南投縣草屯鎮虎山路629號,4.5,383
陽明春天優植地中海自助餐廳,restaurant,555台灣南投縣魚池鄉明德街33-1號,4.9,48
瑤天閣茶食堂,restaurant,545台灣南投縣埔里鎮信義路289號,4.9,138
澄石新天畝,restaurant,553台灣南投縣水里鄉民權巷3號,4.7,2925
慢午廚房x野食,restaurant,556台灣南投縣信義鄉四鄰望和巷113號卡里布安村,4.7,493
蔬食廚房,restaurant,558台灣南投縣鹿谷鄉興產路2-3號號 號,4.6,30
福心 蔬食野菜料理(3/23-3/24店休）,restaurant,"E51手, 作烘培隔壁, No. 79-51號興產路鹿谷鄉南投縣台灣 558",4.9,390
桂田舍素食 Om Tara,restaurant,555001台灣南投縣魚池鄉通文巷8-11號,4.8,26
人倫食堂,restaurant,556台灣南投縣信義鄉人和村民生巷40-5號,4.8,14
明雅小棧 素食,restaurant,555台灣南投縣魚池鄉魚池街557巷1號,4.5,219
憶鄉園素食,restaurant,545台灣南投縣埔里鎮南興街137號,4.7,59
竹山溪頭輕食養生鍋,restaurant,557台灣南投縣竹山鎮東鄉路5-17號,4.8,330
天慈素食_水里店,restaurant,553台灣南投縣水里鄉民生路189號,4.5,72
菩提素食,restaurant,54515台灣南投縣埔里鎮西安路一段14號,4.9,62
雪花素食（要去吃看看）,restaurant,545台灣南投縣埔里鎮忠孝路141號,4.5,1328
全素食-Shmashuni-竹筒蒸麻糬、酥炸龍鬚菜、綜合菇、酥炸金針花,restaurant,555台灣南投縣魚池鄉義勇街56號,4.9,257
達瑪巒風味餐廳,restaurant,556台灣南投县信义乡開信巷姑姑山1號,4.7,220
古迷思咖啡屋,cafe,556台灣南投縣信義鄉望鄉部落聯絡道路127號,4.7,196
在地開心豆干,restaurant,555台灣南投縣魚池鄉德化街3號,4.6,79
桂和園蔬食,"restaurant, store",545台灣南投縣埔里鎮樹人三街93號,4.6,336
燕子素食,restaurant,553台灣南投縣水里鄉太平街63號,4.6,62
1988鍋,restaurant,556台灣南投縣信義鄉同和巷,5.0,91
南投鹿谷鵝樂蔬菜餐館,restaurant,558台灣南投縣鹿谷鄉中正路二段268巷1號,4.7,688
華嚴素食館,restaurant,545台灣南投縣埔里鎮南昌街297號,4.5,19
全体素立蔬食餐館,restaurant,545台灣南投縣埔里鎮中華路216號,4.5,275
悦素人南洋蔬食,restaurant,542台灣南投縣草屯鎮育英街93號,4.9,535
